id,name,department_id,availability,lat,lon
100258,Зона отдыха «Битца»лодочная станция,237453.0,2,55.591145430627485,37.54203982636775
100259,Спортивный клуб Стрела-84»,237430.0,3,55.771975,37.640479
100262,"Стрелковый стенд, стрельбище, тир «Окружной стрелково-спортивный клуб «Виктория»",,3,55.700725,37.807485
100268,Клуб стрельбы из лука «Варяг»,,3,55.751761,37.514068
100271,Дворовая территория,,4,55.64672529761116,37.26335029031998
100272,Дворовая территория,237367.0,4,55.8806755555849,37.57181407377149
100274,Дворовая территория,237368.0,4,55.87707067624918,37.663347902070015
100275,Дворовая территория,237368.0,4,55.88174615969712,37.675417405213246
100276,Дворовая территория,237368.0,4,55.87621443049432,37.67489410337702
100282,Спортивный зал «ГБУ ТЦ СО «Ярославский»,237336.0,3,55.86661017106727,37.69650237839252
100288,Спортивный комплекс образовательного учреждения,,4,55.81525724665765,37.61553023042212
100299,Спортивный зал «клуб Синдо»,,3,55.852162,37.64551
100322,Дворовая территория,237382.0,4,55.899356,37.584901
100324,Спортивный комплекс дошкольного образовательного учреждения,219814.0,4,55.902071,37.554708
100327,"Парк, озелененная городская территория «Джамгаровский парк»",237332.0,2,55.88867736399083,37.69652871827696
100328,Комплекс спортивных сооружений «Борисовские Пруды» ГБУ «СШОР № 44» Департамента спорта города Москвы,219165.0,2,55.63461845570866,37.703898678441945
100329,Физкультурно-оздоровительный комплекс с бассейном «Братеево»,219165.0,3,55.636199,37.753928
100330,Конно-спортивная база «Спортивная школа «Битца»,219165.0,1,55.6421497028504,37.58309683257861
100331,Спортивный зал «ГБУ «Спортивная школа № 76» Департамента спорта города Москвы»,219165.0,3,55.861802,37.562955
100332,Физкультурно-оздоровительный комплекс «ГБУ «Московская баскетбольная академия» Москомспорта структурное подразделение СШОР № 56»,219165.0,3,55.815949,37.817915
100384,Спортивный комплекс дошкольного образовательного учреждения,219814.0,4,55.884691,37.610574
100396,Спортивный комплекс дошкольного образовательного учреждения,219814.0,4,55.60946686696696,37.58121053464496
100446,Автодром «Русская школа картинга «Пилот»»,,2,55.883141,37.669684
100448,Парк культуры и отдыха «Фили»,237332.0,2,55.7482954863979,37.48382881385171
100449,Дорожка велосипедная (сквер по Рижскому проезду),237366.0,3,55.81482413172685,37.66169193023219
100453,Пойма реки Яуза вдоль улицы Северодвинская,237341.0,2,55.89065376155369,37.68221256122656
100458,"Парк, озелененная городская территория «Парк культуры и отдыха «Кузьминки»",237332.0,2,55.6939419662619,37.76603348819935
